name,category,desc,emoji,limit,tags,sort,available
"红烧排骨","猪肉","冰糖炒色慢火收汁，骨头都入味","🍖","","硬菜|猪肉|下饭","10","false"
"排骨汤","猪肉","焯水后小火慢炖，汤色清亮不油","🍲","","汤|猪肉|清淡","20","false"
"话梅排骨","猪肉","话梅的酸甜吊出肉香，解腻开胃","🍖","","猪肉|解腻","30","false"
"红烧肉","猪肉","五花三层，炖到入口即化","🍖","","硬菜|猪肉|下饭","40","false"
"爆炒猪心","猪肉","大火快炒，脆嫩不老，配青椒最香","🥩","","猪肉|下饭|微辣","50","false"
"黄豆炖猪蹄","猪肉","黄豆提前泡发，炖到脱骨","🍲","","硬菜|汤|猪肉","60","false"
"红烧蹄髈","猪肉","整只慢炖两小时，皮糯肉酥","🍖","1","硬菜|猪肉","70","false"
"萝卜炖猪蹄","猪肉","白萝卜吸饱肉汤，比肉还抢手","🍲","","汤|猪肉|暖胃","80","false"
"鸡汤","鸡肉","老母鸡慢炖，只放姜和盐","🍲","","汤|鸡肉|暖胃","110","false"
"醋溜鸡","鸡肉","酸香挂汁，鸡肉滑嫩开胃","🍗","","鸡肉|下饭","120","false"
"黄焖鸡","鸡肉","香菇青椒焖鸡腿，汤汁拌饭一绝","🍗","","鸡肉|下饭|硬菜","130","false"
"可乐鸡翅","鸡肉","烧到浓稠收汁，甜咸黏嘴","🍗","","鸡肉|儿童友好","140","false"
"香辣翅尖","鸡肉","干辣椒炒香，越啃越停不下","🍗","","辣|鸡肉|酒搭","150","false"
"猪肚鸡","鸡肉","猪肚与鸡同炖，胡椒提味汤白","🍲","","汤|鸡肉|暖胃|硬菜","160","false"
"大盘鸡","鸡肉","鸡块配土豆，最后下一把宽面","🍗","","辣|鸡肉|硬菜|下饭","170","false"
"五指毛桃焗鸡","鸡肉","带椰香药材焗出来的鸡格外清甜","🍗","1","鸡肉|硬菜|清淡","180","false"
"清炒丝瓜","蔬菜","滚刀块下锅，出锅前勾薄芡","🥒","","素|清淡","210","false"
"蒜蓉空心菜","蔬菜","大火爆炒，蒜香压住青味","🥬","","素|清淡","220","false"
"清炒青菜","蔬菜","断生就出锅，保持翠绿脆嫩","🥬","","素|清淡","230","false"
"醋溜土豆丝","蔬菜","切细丝泡去淀粉，酸辣脆爽","🥔","","素|下饭|微辣","240","false"
"醋溜白菜","蔬菜","菜帮斜刀切片，醋香扑鼻","🥬","","素|下饭|清淡","250","false"
"干煸四季豆","蔬菜","煸到起皱，肉末蒜末一起炒","🫘","","素|下饭","260","false"
"油焖茭白","蔬菜","滚刀块下锅，酱油糖焖到入味","🌿","","素|清淡","270","false"
"鱼香茄子","蔬菜","先煎后烧，酸甜微辣挂汁","🍆","","素|下饭|微辣","280","false"
